id;title;description;due_date;completed
1;lest sans lean;../fake-data/blob/hipster.txt;2025-02-10T21:39:08;true
2;likewise quirkily jaggedly;../fake-data/blob/hipster.txt;2025-02-10T13:50:12;false
3;over oof negligible;../fake-data/blob/hipster.txt;2025-02-10T18:53:35;true
4;coarse splurge anguished;../fake-data/blob/hipster.txt;2025-02-10T15:47:04;false
5;that on phew;../fake-data/blob/hipster.txt;2025-02-10T21:10:13;false
6;hm who;../fake-data/blob/hipster.txt;2025-02-11T02:45:40;true
7;where;../fake-data/blob/hipster.txt;2025-02-10T10:11:59;false
8;tag;../fake-data/blob/hipster.txt;2025-02-10T08:09:30;false
9;ugh;../fake-data/blob/hipster.txt;2025-02-10T16:56:20;false
10;strictly before snoopy;../fake-data/blob/hipster.txt;2025-02-11T02:37:26;false
